driverId,avg_change,consistency,avg_finish,avg_qual,cluster,db_cluster,cluster_name
75,5.0,6.224949798994365,13.176470588235293,18.176470588235293,1,0,Race Improvers
76,2.142857142857143,4.881001518559057,15.357142857142858,17.5,1,0,Race Improvers
77,-4.1521739130434785,7.682497832532066,9.91304347826087,5.760869565217392,0,0,Underperformers
78,1.0,8.981462390204987,10.714285714285714,11.714285714285714,0,-1,Underperformers
79,-0.5416666666666666,7.2551033640255636,15.666666666666666,15.125,1,0,Race Improvers
81,-0.48148148148148145,6.612170424361257,14.814814814814815,14.333333333333334,1,0,Race Improvers
82,8.666666666666666,4.509249752822894,11.333333333333334,20.0,1,-1,Race Improvers
83,5.0,5.921049191605468,13.333333333333334,18.333333333333332,1,0,Race Improvers
84,-1.5454545454545454,6.814923463853562,12.93939393939394,11.393939393939394,0,0,Underperformers
85,3.4761904761904763,5.036060440652471,18.476190476190474,21.952380952380953,2,0,Consistent Climbers
86,5.5,4.43471156521669,18.25,23.75,2,0,Consistent Climbers
87,0.3333333333333333,6.949737446458869,11.733333333333333,12.066666666666666,0,0,Underperformers
88,1.5714285714285714,8.560707580902077,14.714285714285714,16.285714285714285,1,-1,Race Improvers
89,2.7222222222222223,5.99809337898357,17.72222222222222,20.444444444444443,1,0,Race Improvers
90,5.529411764705882,4.3028718180249035,17.235294117647058,22.764705882352942,2,0,Consistent Climbers
91,3.0,4.092676385936225,13.777777777777779,16.77777777777778,1,0,Race Improvers
92,4.333333333333333,4.1518785191880605,18.6,22.933333333333334,2,0,Consistent Climbers
93,4.428571428571429,5.287001130355558,18.857142857142858,23.285714285714285,2,0,Consistent Climbers
94,3.2916666666666665,5.3688243929485004,13.416666666666666,16.708333333333332,1,0,Race Improvers
95,-7.333333333333333,7.840068026915754,12.166666666666666,4.833333333333333,0,-1,Underperformers
96,2.8181818181818183,6.508735388970454,12.727272727272727,15.545454545454545,1,0,Race Improvers
97,0.42857142857142855,5.623081683476385,17.285714285714285,17.714285714285715,1,0,Race Improvers
98,7.666666666666667,3.214550253664318,16.666666666666668,24.333333333333332,2,-1,Consistent Climbers
100,4.714285714285714,7.897697536220692,15.428571428571429,20.142857142857142,1,-1,Race Improvers
101,8.733333333333333,4.963677592077797,15.6,24.333333333333332,2,-1,Consistent Climbers
102,-18.666666666666668,5.859465277082315,19.666666666666668,1.0,0,-1,Underperformers
103,7.076923076923077,4.071476768559914,11.384615384615385,18.46153846153846,1,-1,Race Improvers
104,5.466666666666667,5.475486497193868,11.466666666666667,16.933333333333334,1,0,Race Improvers
105,2.1333333333333333,5.755328793718872,16.6,18.733333333333334,1,0,Race Improvers
106,5.0,8.514693182963201,17.666666666666668,22.666666666666668,1,-1,Race Improvers
107,7.5,10.606601717798213,18.5,26.0,1,-1,Race Improvers
108,0.0,1.4142135623730951,26.5,26.5,2,-1,Consistent Climbers
109,-1.4285714285714286,12.259107401671391,15.0,13.571428571428571,0,-1,Underperformers
110,-3.0,5.617433182117573,18.7,15.7,1,-1,Race Improvers
111,11.0,5.507570547286102,14.714285714285714,25.714285714285715,2,-1,Consistent Climbers
112,-6.0,2.8284271247461903,22.5,16.5,2,-1,Consistent Climbers
113,7.0,2.8284271247461903,18.5,25.5,2,-1,Consistent Climbers
114,5.5,4.949747468305833,17.5,23.0,2,0,Consistent Climbers
115,-1.3333333333333333,1.5275252316519468,24.666666666666668,23.333333333333332,2,-1,Consistent Climbers
116,5.0,5.656854249492381,15.0,20.0,1,0,Race Improvers
153,1.4565217391304348,5.780067365002016,13.891304347826088,15.347826086956522,1,0,Race Improvers
154,-1.2099447513812154,6.090987011536668,13.143646408839778,11.933701657458563,0,0,Underperformers
155,0.30666666666666664,6.31380583674729,14.04,14.346666666666666,1,0,Race Improvers
807,-1.2358078602620088,5.065910482386359,11.88646288209607,10.65065502183406,0,0,Underperformers
808,0.2413793103448276,5.3616910949307,14.362068965517242,14.60344827586207,1,0,Race Improvers
810,2.789473684210526,3.137212977016048,19.31578947368421,22.105263157894736,2,0,Consistent Climbers
811,1.608695652173913,4.6355067366269695,15.695652173913043,17.304347826086957,1,0,Race Improvers
812,5.0,3.1937438845342623,18.181818181818183,23.181818181818183,2,0,Consistent Climbers
813,-1.1770833333333333,6.093991504436181,15.010416666666666,13.833333333333334,1,0,Race Improvers
814,0.1694915254237288,5.058800942750685,11.847457627118644,12.016949152542374,0,0,Underperformers
815,0.574468085106383,5.6338251988204195,9.326241134751774,9.900709219858156,0,0,Underperformers
816,3.45,2.8557421378504637,18.35,21.8,2,0,Consistent Climbers
817,-0.4375,5.227003790648231,10.23046875,9.79296875,0,0,Underperformers
818,-0.034482758620689655,5.347455591841325,13.982758620689655,13.948275862068966,1,0,Race Improvers
819,2.8461538461538463,2.9694803863945944,18.076923076923077,20.923076923076923,2,0,Consistent Climbers
820,2.742857142857143,2.768975783707092,17.685714285714287,20.428571428571427,2,0,Consistent Climbers
821,-0.01694915254237288,4.1084082219345746,15.067796610169491,15.05084745762712,1,0,Race Improvers
822,-1.1214574898785425,4.718221155819009,8.96761133603239,7.846153846153846,0,0,Underperformers
823,1.736842105263158,2.684153192828811,18.05263157894737,19.789473684210527,2,0,Consistent Climbers
824,2.0588235294117645,2.7296484008305657,17.11764705882353,19.176470588235293,2,0,Consistent Climbers
825,-0.0972972972972973,4.403709311384829,13.556756756756757,13.45945945945946,1,0,Race Improvers
826,-0.30357142857142855,5.353855705355806,12.223214285714286,11.919642857142858,0,0,Underperformers
828,2.5208333333333335,3.8524883733330944,14.895833333333334,17.416666666666668,1,0,Race Improvers
829,2.4444444444444446,1.6528841894672626,16.444444444444443,18.88888888888889,2,0,Consistent Climbers
830,-0.9186602870813397,6.083401607621945,5.645933014354067,4.7272727272727275,0,0,Underperformers
831,2.7,3.969111506854671,14.15,16.85,1,0,Race Improvers
832,-0.7294685990338164,5.287304010251796,9.241545893719806,8.51207729468599,0,0,Underperformers
833,3.6923076923076925,2.1363760352762258,15.692307692307692,19.384615384615383,2,0,Consistent Climbers
834,3.4,2.6076809620810595,15.4,18.8,2,0,Consistent Climbers
835,0.9142857142857143,4.111471960341244,15.17142857142857,16.085714285714285,1,0,Race Improvers
836,2.1538461538461537,3.289044506415531,16.128205128205128,18.28205128205128,2,0,Consistent Climbers
