driverId,avg_gain,gain_pct,volatility,p10_gain,p90_gain,avg_qual,avg_finish,gain_per_qual_rank,teammate_delta_avg,race_count,year,forename,surname,driver_name,pca1,pca2,cluster,cluster_name,dbscan_cluster,era
22,1.0555555555555556,0.5555555555555556,5.150353753952215,-3.5999999999999996,5.5000000000000036,14.944444444444445,13.88888888888889,0.07063197026022305,0.0,18,2008,Rubens,Barrichello,R. Barrichello,0.7990450859785814,-0.03909283392309018,0,Midfield Stabilizers,0,1994–2009
1,-0.7058823529411765,0.5294117647058824,7.9825176626985375,-11.8,5.4,9.0,9.705882352941176,-0.0784313725490196,0.0,17,2009,Lewis,Hamilton,L. Hamilton,-1.0817205205829914,1.5496306791695211,0,Midfield Stabilizers,0,1994–2009
2,1.2941176470588236,0.5294117647058824,4.870378654200731,-3.1999999999999997,6.800000000000001,11.764705882352942,10.470588235294118,0.11,0.0,17,2009,Nick,Heidfeld,N. Heidfeld,1.0859733904657016,0.12718448136757385,2,Consistent Climbers,0,1994–2009
3,0.17647058823529413,0.5294117647058824,5.027863538791192,-8.0,4.800000000000001,8.411764705882353,8.235294117647058,0.02097902097902098,0.0,17,2009,Nico,Rosberg,N. Rosberg,0.019739413050871357,-0.007197296135714541,0,Midfield Stabilizers,0,1994–2009
4,-0.8823529411764706,0.5294117647058824,5.956953425841691,-8.2,3.8000000000000007,8.941176470588236,9.823529411764707,-0.09868421052631579,0.0,17,2009,Fernando,Alonso,F. Alonso,-0.6323852753893437,0.07871395093442413,0,Midfield Stabilizers,0,1994–2009
5,-0.23529411764705882,0.4117647058823529,5.117731574690904,-6.4,7.4,10.882352941176471,11.117647058823529,-0.02162162162162162,0.0,17,2009,Heikki,Kovalainen,H. Kovalainen,0.10290388543339582,0.4188504379453932,0,Midfield Stabilizers,0,1994–2009
6,-1.0588235294117647,0.35294117647058826,4.069253436370333,-6.0,3.200000000000001,12.647058823529411,13.705882352941176,-0.08372093023255814,0.0,17,2009,Kazuki,Nakajima,K. Nakajima,-0.5704891903098723,-1.133128058087753,0,Midfield Stabilizers,0,1994–2009
7,3.6666666666666665,0.6666666666666666,4.6097722286464435,-2.0,8.0,17.666666666666668,14.0,0.20754716981132074,0.0,9,2009,Sébastien,Bourdais,S. Bourdais,2.283347769055903,0.4405388945456425,2,Consistent Climbers,0,1994–2009
8,-0.17647058823529413,0.47058823529411764,4.1718595092243795,-5.4,4.4,8.058823529411764,8.235294117647058,-0.021897810218978103,0.0,17,2009,Kimi,Räikkönen,K. Räikkönen,0.126477560488609,-0.70506315948619,0,Midfield Stabilizers,0,1994–2009
9,-0.35294117647058826,0.5882352941176471,5.147100840164638,-7.6,5.4,11.352941176470589,11.705882352941176,-0.031088082901554404,0.0,17,2009,Robert,Kubica,R. Kubica,0.08460520528745002,0.1744654932972327,0,Midfield Stabilizers,0,1994–2009
