driverId,avg_gain,gain_pct,volatility,p10_gain,p90_gain,avg_qual,avg_finish,gain_per_qual_rank,race_count,year,cluster,cluster_name
71,-0.2857142857142857,0.7142857142857143,7.064330251677218,-6.599999999999998,4.400000000000002,8.571428571428571,8.857142857142858,-0.03333333333333333,7,1998,0,Consistent Climbers
73,5.0,0.8333333333333334,4.09878030638384,0.5,8.5,20.5,15.5,0.24390243902439024,6,1998,2,Underperformers
74,4.142857142857143,0.8571428571428571,3.1320159337914952,1.2000000000000002,7.000000000000002,19.428571428571427,15.285714285714286,0.2132352941176471,7,1998,2,Underperformers
75,6.428571428571429,0.8571428571428571,5.563486402641868,4.440892098500626e-16,11.8,20.0,13.571428571428571,0.32142857142857145,7,1998,2,Underperformers
2,0.8125,0.625,6.177580432499443,-8.0,7.5,12.3125,11.5,0.06598984771573604,16,2003,0,Consistent Climbers
4,-0.375,0.5625,6.974955196988724,-10.5,5.5,7.875,8.25,-0.047619047619047616,16,2003,0,Consistent Climbers
8,0.9375,0.4375,8.16879224039066,-7.5,9.0,6.8125,5.875,0.13761467889908258,16,2003,0,Consistent Climbers
14,0.1875,0.4375,7.101349636982161,-7.0,8.5,8.5,8.3125,0.022058823529411766,16,2003,0,Consistent Climbers
15,-2.625,0.3125,8.05708797684788,-13.0,6.5,7.3125,9.9375,-0.358974358974359,16,2003,1,Volatile Drivers
17,-1.0625,0.3125,5.458555975103062,-7.0,5.0,9.875,10.9375,-0.10759493670886076,16,2003,0,Consistent Climbers
18,1.0625,0.5625,5.685874309784439,-5.5,7.0,11.875,10.8125,0.08947368421052632,16,2003,0,Consistent Climbers
21,0.375,0.5,4.318564576337836,-5.0,5.5,13.875,13.5,0.02702702702702703,16,2003,0,Consistent Climbers
22,-4.3125,0.25,7.709031499914024,-16.5,2.0,3.625,7.9375,-1.1896551724137931,16,2003,1,Volatile Drivers
23,-0.8666666666666667,0.4,6.906173911453294,-10.399999999999999,5.799999999999999,5.933333333333334,6.8,-0.14606741573033707,15,2003,0,Consistent Climbers
30,0.0,0.3125,3.2455097185701565,-3.0,4.0,4.25,4.25,0.0,16,2003,0,Consistent Climbers
31,-2.0,0.375,6.2289646009589745,-10.0,3.5,4.1875,6.1875,-0.47761194029850745,16,2003,1,Volatile Drivers
35,-1.6666666666666667,0.26666666666666666,5.19156825558337,-7.199999999999999,4.0,11.666666666666666,13.333333333333334,-0.14285714285714288,15,2003,0,Consistent Climbers
42,-0.09090909090909091,0.6363636363636364,4.570657402486987,-5.0,5.0,13.818181818181818,13.909090909090908,-0.006578947368421053,11,2003,0,Consistent Climbers
43,0.5,0.5,4.049691346263317,-5.0,5.5,11.25,10.75,0.044444444444444446,16,2003,0,Consistent Climbers
44,-4.25,0.3125,5.471136384091821,-10.5,2.0,9.0,13.25,-0.4722222222222222,16,2003,1,Volatile Drivers
49,0.5,0.5625,6.0,-6.0,7.5,13.25,12.75,0.03773584905660377,16,2003,0,Consistent Climbers
50,4.5,1.0,2.581988897471611,1.5,8.0,18.4375,13.9375,0.2440677966101695,16,2003,2,Underperformers
51,2.625,0.75,3.8100743649785453,-3.0,6.5,17.1875,14.5625,0.15272727272727274,16,2003,2,Underperformers
52,2.7857142857142856,0.7857142857142857,3.49017459181037,-2.0,6.400000000000002,17.0,14.214285714285714,0.1638655462184874,14,2003,2,Underperformers
53,6.6,1.0,2.701851217221259,4.0,8.6,19.4,12.8,0.3402061855670103,5,2003,2,Underperformers
2,1.8888888888888888,0.6111111111111112,3.4451822949956705,-2.3,5.600000000000001,15.88888888888889,14.0,0.11888111888111888,18,2004,2,Underperformers
4,-0.16666666666666666,0.6111111111111112,7.172250446727878,-9.2,7.5000000000000036,7.222222222222222,7.388888888888889,-0.023076923076923075,18,2004,0,Consistent Climbers
